user_id,session_id,time,accx,accy,accz,gyrx,gyry,gyrz
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,0,231.93,-59.08,972.66,2.1,12.67,16.62
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,1,132.81,-7.32,948.73,5.06,13.55,14.21
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,2,105.96,7.81,984.86,7.73,8.98,13.07
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,3,87.4,37.11,1038.09,10.89,9.31,5.69
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,4,100.59,12.21,1069.82,7.06,8.56,-2.27
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,5,62.5,-25.88,1070.8,8.62,3.98,-5.54
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,6,116.21,-72.27,1027.34,6.94,5.11,-0.47
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,7,139.65,-73.24,1009.77,4.6,8.43,8.46
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,8,95.21,-20.02,1004.39,-2.18,11.42,12.37
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,9,85.94,-21,985.84,-12.53,6.9,13.34
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,10,106.45,-33.2,996.09,-11.75,1.98,10.55
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,11,117.19,-52.73,1033.69,-4.2,3.34,3.98
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,12,121.58,-37.6,1023.44,-3.64,-2.46,2.96
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,13,133.79,-58.59,1021.48,-6.15,-1.16,0.76
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,14,141.11,-74.71,1020.02,-6.5,0.94,-3.47
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,15,123.54,-120.12,1035.64,-4.9,-4.4,-1.14
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,16,117.19,-111.33,1016.6,-6.36,-0.47,8.15
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,17,82.03,-94.24,1033.2,-7.36,-2.58,6.62
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,18,107.91,-94.73,1044.43,-4.92,0.92,7.05
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,19,147.46,-91.31,1031.25,0.82,0.49,5.15
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,20,129.88,-75.68,1023.93,5.98,5.47,1.72
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,21,104,-91.31,1037.11,7.32,5.14,1.24
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,22,119.14,-72.27,1025.39,5.45,3.7,5.55
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,23,112.79,-69.82,1022.95,2.39,5.07,6.18
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,24,98.63,-92.77,1029.79,-2.53,6.63,7.3
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,25,91.8,-60.55,1016.11,-1.24,8.76,10.31
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,26,93.26,-58.59,1025.39,-2.6,5.41,9.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,27,87.4,-55.18,999.02,-0.12,3.11,3.53
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,28,73.24,-58.59,1023.44,2.54,3.82,3.97
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,29,87.4,-49.32,1006.84,4.83,5.05,3.35
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,30,68.85,-67.87,1018.07,4.8,1.22,-1.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,31,61.52,-76.17,1012.21,4.11,-2.3,0.76
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,32,64.45,-81.05,1022.46,3.04,0.7,-1.29
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,33,85.45,-76.17,1016.6,-2.6,-4.82,2.23
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,34,80.57,-72.27,1020.02,-5.62,-6.15,2.38
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,35,99.12,-61.04,1022.95,-3.57,-3.59,0.91
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,36,83.98,-64.45,1024.9,-4.64,-6.47,1.66
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,37,84.47,-75.2,1030.76,-2.15,-4.96,0.17
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,38,94.73,-79.59,1024.41,-1.41,-2.22,-0.91
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,39,100.1,-80.57,1026.37,2.27,-2.18,-2.7
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,40,100.1,-85.94,1022.46,3.85,-4.47,-0.94
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,41,101.56,-90.33,1022.95,1.17,-5.92,0.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,42,110.35,-72.27,1022.46,-0.05,-1.76,-1.21
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,43,113.28,-79.59,1028.81,0.26,-1.66,0.33
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,44,104,-67.87,1025.39,-0.17,-3.82,4.8
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,45,116.21,-67.38,1021.48,-1.19,-1.42,3.31
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,46,124.51,-62.5,1029.3,2.1,-4.05,4.27
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,47,115.72,-58.59,1048.83,1.27,-1.15,-0.51
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,48,125.49,-60.55,1019.04,3.4,-1.27,-1.82
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,49,104.49,-68.85,1022.95,2.59,1.9,-4.79
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,50,120.61,-73.24,1009.77,-0.37,-2.21,-1.6
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,51,101.56,-73.24,1006.35,2.31,-1.9,-0.02
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,52,90.82,-68.85,1007.32,1.44,-2.98,-0.12
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,53,119.14,-68.36,1024.41,0.73,-7.09,-1.59
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,54,105.47,-58.59,1033.2,-0.35,-1.3,0.93
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,55,102.05,-71.78,1033.69,-1.38,-3.53,1.62
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,56,125.49,-80.57,1032.23,-0.32,-0.11,1.79
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,57,115.23,-62.99,1024.41,0.37,-0.55,-0.95
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,58,117.68,-69.34,1027.83,-1.83,0.11,2.15
b848b144-29b6-4f35-a494-52d2340d8eb2,14dd262c-168d-4c15-9c82-e61e89f22e8b,59,111.82,-60.06,1008.3,-1.25,-2.19,-0.69
