AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
63.96,69.82,1010.74,7.58,-3.31,4.48,-4.5,13.05,43.35,34.36
85.94,61.52,1015.62,5.35,-8.34,4.85,-3.75,11.85,41.55,34.5
118.16,56.64,1020.02,9.66,-10.06,7.13,-4.2,11.55,40.8,34.21
128.42,64.94,1039.55,8.18,-6.04,4.96,-4.65,11.4,42.75,34.5
128.91,49.8,1005.37,10.82,-6.2,8.61,-4.95,13.05,43.35,34.4
121.09,69.34,1007.32,8.72,-1.98,9.95,-6.3,12.6,40.5,34.31
140.14,72.27,1000.49,10.31,-4.19,10.03,-6.45,13.5,42.45,34.4
151.86,94.24,1007.32,10.82,-5.02,15.42,-7.95,14.25,41.7,34.64
142.09,137.7,1018.55,6.98,-7.06,10.53,-8.1,15.9,41.25,34.4
158.2,143.55,1017.58,11.73,-7.98,9.58,-8.1,12.6,42.3,34.64
144.53,172.85,1023.93,12.93,-5.03,8.3,-10.2,14.85,43.95,34.4
176.27,175.78,1012.21,13.92,-10.46,5.26,-10.5,13.05,41.85,34.4
159.18,181.64,1006.84,13.37,-5.92,4.11,-8.55,12.75,42.45,34.5
171.39,185.55,976.07,11.74,-7.18,3.61,-10.2,13.8,43.95,34.5
172.85,204.1,995.61,8.07,-8.83,3.21,-10.5,15.9,42.9,34.36
173.34,194.34,991.7,2.37,-10.28,0.98,-10.5,16.65,44.7,34.36
157.71,216.8,983.4,1.16,-7.03,3.95,-11.55,16.65,42.9,34.31
138.67,202.64,977.54,-0.24,-2.21,0.73,-11.85,15.3,43.5,34.64
137.21,210.94,998.05,-4.25,0.58,-0.68,-10.95,16.95,43.65,34.64
137.21,208.01,990.23,-12.27,-1.08,-4.78,-11.25,15.6,42.6,34.21
144.53,180.66,1012.7,-16.72,2.79,-1.86,-12.0,15.6,41.55,34.36
158.69,174.8,1002.93,-19.5,5.39,-4.68,-10.95,14.4,42.9,34.5
208.5,144.53,1015.14,-19.65,5.75,-3.63,-11.1,15.0,44.1,34.55
227.54,121.58,1007.81,-21.06,5.04,-2.31,-11.25,14.1,42.9,34.4
215.33,120.12,1032.23,-20.7,3.25,-9.47,-12.45,14.25,43.5,34.21
203.61,118.16,1004.88,-21.12,-0.53,-10.8,-11.1,13.2,44.55,34.21
186.04,128.91,1013.18,-20.95,2.17,-14.53,-10.65,12.75,45.15,34.36
180.66,80.57,991.21,-17.25,-3.18,-14.54,-10.5,13.35,43.95,34.5
186.52,51.27,1006.35,-20.76,-3.66,-12.78,-9.3,12.75,44.85,34.4
164.06,41.02,1016.6,-18.17,-0.21,-12.27,-10.2,11.55,43.95,34.21
139.16,24.41,1004.88,-14.44,-2.08,-7.33,-9.15,11.55,43.95,34.12
133.79,29.79,1012.7,-7.02,-0.73,-5.68,-7.65,11.85,45.75,34.64
131.84,7.32,1037.11,-8.79,3.01,-0.47,-9.0,11.7,45.9,34.69
148.44,19.04,1036.13,-4.61,0.26,-1.98,-10.05,11.7,45.6,34.5
156.74,32.23,1037.11,-4.27,0.96,-3.47,-9.45,11.25,45.75,34.64
131.35,-18.55,1026.86,-7.63,1.52,-2.04,-7.5,10.35,44.1,34.4
138.18,-5.37,1015.62,-8.72,1.76,-0.33,-8.55,10.35,45.9,34.5
131.84,0.98,1018.07,-8.97,0.87,-0.22,-7.2,9.9,44.55,34.16
123.54,15.14,993.16,-6.64,-1.03,1.22,-8.4,10.5,44.7,34.4
140.14,1.95,1019.04,-3.84,0.21,0.69,-6.15,10.95,44.55,34.4
122.07,8.79,1022.46,-2.63,0.05,-1.45,-7.05,9.3,44.4,34.4
142.58,-19.04,1037.11,-3.59,-2.73,0.68,-5.7,9.15,45.9,34.5
138.67,20.51,1036.62,1.7,-0.46,-0.71,-7.65,9.75,45.3,34.5
139.65,-18.07,1029.3,3.25,3.77,-2.61,-6.0,9.0,45.0,34.5
139.16,-17.58,1030.76,1.8,-0.48,-3.97,-7.5,10.65,43.8,34.16
146.97,-23.93,1031.25,-3.66,0.87,0.24,-7.5,9.9,44.1,34.4
137.21,-18.55,1024.41,1.85,0.66,-0.23,-5.55,10.05,44.4,34.36
142.09,-13.18,1012.7,0.34,-1.31,-0.33,-7.5,8.1,44.55,34.69
151.37,20.51,1013.18,0.09,-1.67,1.15,-6.9,9.15,44.55,34.31
131.84,11.72,1004.39,2.82,-1.17,1.21,-6.9,9.9,46.65,34.5
152.34,6.35,1014.65,2.04,-0.27,-3.88,-6.9,9.9,45.15,34.21
146.0,52.73,1027.83,-2.95,1.21,1.15,-7.05,10.8,45.0,34.4
118.65,29.79,1011.72,-3.92,-0.4,3.66,-7.2,10.35,47.55,34.4
132.81,8.79,1026.37,1.21,0.49,-2.17,-8.4,10.5,45.3,34.5
151.86,10.74,1017.58,-1.23,1.94,-3.35,-7.2,9.15,43.05,34.5
145.02,-8.3,1017.58,-5.7,-1.31,-6.16,-6.15,9.9,44.1,34.36
163.57,-28.81,1017.58,-3.21,-0.6,-4.38,-6.6,8.7,44.4,34.64
129.88,-34.18,978.03,-5.98,2.18,-5.98,-6.45,10.65,44.55,34.55
116.21,-42.48,1019.53,-4.57,-1.62,-4.68,-5.7,10.35,44.1,34.64
149.9,-51.76,1018.07,-5.5,-1.89,-2.94,-5.1,8.85,44.85,34.36
141.11,-43.46,1022.46,-2.02,-3.24,0.37,-5.7,8.1,44.55,34.4
158.69,-10.25,1026.37,2.18,-3.58,5.11,-5.1,9.15,45.15,34.4
142.58,-12.21,1026.86,1.83,0.53,4.15,-5.55,8.7,43.65,34.36
152.34,-14.65,1038.09,3.46,3.71,0.88,-5.1,8.85,44.55,34.21
149.9,-11.72,1025.88,2.73,0.78,3.41,-6.9,9.9,44.1,34.4
127.93,-13.67,1019.04,3.1,-0.63,1.92,-4.95,9.0,43.35,34.4
113.28,-17.58,1022.46,0.88,0.58,1.79,-4.65,9.6,44.1,34.21
126.46,-57.62,1008.79,0.31,5.42,2.94,-6.3,9.3,43.95,34.31
148.93,-27.83,1028.32,-1.83,-1.1,9.15,-7.35,9.0,43.95,34.4
63.96,13.67,1041.5,5.83,1.29,0.95,-7.35,9.0,42.9,34.5
134.77,-60.06,1065.43,11.62,-1.36,-6.27,-7.65,9.75,44.4,34.31
165.53,58.11,1089.84,25.59,-2.92,-19.15,-6.9,8.85,44.55,34.21
123.05,133.3,1026.86,20.14,-8.16,-27.4,-6.6,10.05,43.65,34.21
39.55,172.85,991.21,9.61,-12.74,-39.85,-7.35,11.85,44.7,34.36
151.86,93.75,1008.79,-7.99,-30.26,-33.19,-7.2,12.45,42.0,34.21
207.03,55.66,991.7,-7.37,-16.98,-29.61,-6.6,14.1,41.85,34.31
151.37,109.37,963.87,-10.7,-21.69,-30.55,-6.3,14.4,42.6,34.36
273.93,-29.3,1164.06,-36.5,1.38,-12.11,-6.3,11.55,40.8,34.4
190.43,-42.48,852.54,-18.36,10.27,-5.77,-4.65,12.75,41.1,34.64
327.15,-162.11,1055.18,-19.44,17.48,22.71,-4.5,11.85,40.2,34.64
306.64,-148.93,929.2,6.11,26.6,43.02,-4.05,10.95,41.7,34.64
299.32,-17.09,1012.21,6.82,35.02,52.27,-5.7,11.4,40.05,34.55
298.34,37.11,1031.25,-7.06,45.4,52.16,-4.05,10.95,41.7,34.4
