AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
4.88,-442.38,941.89,-0.95,0.86,1.6,37.95,-51.0,51.75,25.78
11.23,-436.52,942.38,1.56,-2.45,0.51,39.0,-51.3,51.15,25.73
8.79,-444.34,937.01,0.63,0.24,-0.89,39.9,-51.45,52.35,25.87
-8.3,-431.64,925.78,1.62,-0.92,3.66,38.25,-50.55,51.45,25.73
2.93,-436.52,934.08,2.74,-0.5,-0.09,37.8,-51.45,51.6,25.87
3.91,-442.87,962.4,-0.48,-1.31,-0.55,38.55,-50.85,51.3,25.87
8.79,-438.96,936.04,-0.08,-1.17,0.95,38.85,-50.1,51.9,25.78
2.44,-455.08,941.41,0.81,-0.06,-2.09,38.55,-51.45,51.3,25.78
2.44,-438.48,939.94,-1.49,-0.76,1.7,37.95,-52.05,50.1,25.87
-0.98,-435.06,926.76,-1.41,-0.44,0.97,39.15,-51.15,52.35,25.73
3.42,-455.08,945.31,0.62,-1.7,-0.56,38.25,-49.5,50.1,25.87
-4.88,-443.36,936.52,0.04,1.3,0.61,38.25,-50.25,52.5,25.87
6.35,-464.36,938.96,1.63,-1.25,1.46,37.5,-51.15,51.9,25.92
9.77,-441.89,937.01,1.13,2.4,-0.34,38.25,-51.0,53.1,25.78
4.88,-439.94,946.29,-0.11,1.27,-2.02,37.8,-52.2,50.25,25.59
7.81,-440.92,939.94,0.8,-0.19,-0.27,39.15,-50.1,51.3,25.97
-2.93,-452.64,942.38,-0.27,1.0,0.07,38.1,-50.4,52.65,25.97
5.37,-437.5,944.82,1.18,-0.82,-1.89,37.95,-51.75,52.2,25.92
-7.32,-451.66,934.57,0.79,-1.31,1.56,38.25,-50.25,51.15,25.68
-3.42,-450.68,949.22,-2.25,0.52,2.08,38.7,-51.0,50.4,25.78
5.37,-441.41,949.71,-0.17,0.68,-0.2,38.55,-51.45,51.3,25.73
-6.35,-442.87,941.41,-1.15,1.48,2.15,37.65,-50.55,51.15,25.44
6.84,-440.43,935.55,0.32,-0.3,-1.95,39.45,-50.55,51.15,25.92
4.88,-439.45,945.8,0.59,-0.01,-0.27,39.0,-50.55,51.45,25.73
2.93,-443.36,941.41,-1.79,-0.66,-2.21,38.55,-51.15,52.35,25.59
-2.93,-450.2,942.38,2.05,-0.56,0.81,37.8,-50.4,49.95,25.78
0.0,-443.85,946.29,0.24,0.05,0.5,39.15,-49.65,51.9,25.78
-14.65,-444.34,942.87,0.1,2.57,2.2,38.85,-51.9,52.65,25.68
-9.28,-435.06,927.73,0.75,-0.74,-1.08,38.85,-50.4,50.85,25.87
1.46,-442.38,952.15,-4.17,0.85,-0.46,38.7,-50.55,50.7,25.59
-2.44,-451.17,939.45,1.22,-0.07,-1.67,38.55,-50.4,51.3,25.78
10.25,-435.06,944.34,1.82,-0.92,-1.04,38.7,-50.25,51.45,25.78
3.42,-441.41,945.8,-2.44,-0.69,-0.89,38.7,-49.95,52.2,25.92
0.49,-446.29,939.45,1.15,-1.53,0.72,37.8,-50.1,50.55,26.06
-7.81,-444.82,949.22,-1.21,0.97,2.12,38.25,-51.3,51.45,25.87
5.37,-442.38,940.43,-4.17,1.09,2.04,37.95,-51.75,51.75,25.92
5.37,-445.8,934.57,0.72,1.08,0.36,37.2,-50.55,51.15,25.78
12.21,-452.15,938.48,-2.69,-0.11,2.13,38.25,-49.95,51.45,25.87
-155.27,-1371.58,1742.68,212.5,-81.21,50.31,37.05,-51.45,53.4,25.73
132.81,47.85,1067.38,214.12,-56.93,50.55,38.1,-44.55,54.0,25.73
-28.32,-169.43,1006.35,195.61,6.73,9.33,39.9,-38.85,57.15,25.78
5.86,-119.63,1076.66,96.14,16.67,0.94,40.65,-31.5,60.3,25.78
-2.93,194.34,1002.93,188.98,24.21,21.72,42.75,-26.1,59.55,25.78
77.15,180.18,1028.32,4.01,3.21,24.52,39.9,-24.6,61.35,25.68
60.06,41.02,1031.25,4.58,-2.17,11.76,40.8,-23.4,62.55,25.87
-87.4,9.28,1038.09,0.24,1.03,16.05,40.05,-22.65,61.8,25.87
-34.67,43.95,1048.34,-0.16,-0.59,1.71,40.05,-22.95,61.5,25.87
22.46,-38.57,1028.32,-0.38,0.99,16.31,40.65,-23.55,63.0,25.78
-18.55,-9.28,1025.88,-0.66,-4.56,17.33,39.9,-22.05,62.4,25.54
4.39,-3.42,1033.69,2.94,-1.79,-2.22,40.05,-20.4,62.25,25.78
23.93,-12.7,1043.95,1.08,6.24,14.4,42.15,-23.4,60.75,25.59
0.49,2.44,1061.52,-0.89,1.29,-0.8,40.05,-21.15,63.6,26.11
4.88,-16.11,1022.46,9.76,4.18,9.92,40.95,-23.55,61.35,25.87
-3.42,-1.95,1042.48,-0.89,-0.21,2.39,41.7,-22.5,61.95,25.78
9.28,-5.86,1037.11,2.29,0.39,7.45,40.05,-21.9,62.25,25.87
43.95,-25.39,1054.69,-0.95,-1.87,5.33,40.05,-19.65,65.25,25.87
33.69,1.95,1025.39,1.73,0.37,2.79,42.0,-20.7,66.15,25.87
-428.71,-343.75,1407.23,21.02,-8.16,33.24,41.55,-19.35,62.55,25.78
-20.51,33.69,1017.09,5.31,-1.02,-2.99,40.5,-20.1,62.85,25.78
21.48,-5.37,1059.57,0.53,1.92,6.14,40.2,-19.2,61.95,25.87
-7.81,-16.11,1021.48,5.66,-0.25,7.31,39.9,-19.95,61.95,25.78
-24.9,-5.86,1068.85,1.6,-1.77,7.24,41.55,-20.4,61.5,25.97
8.3,19.04,989.75,-0.47,7.61,8.26,40.95,-19.5,61.35,25.78
-12.21,5.86,1050.29,-10.32,1.33,-9.86,42.6,-18.3,63.6,25.73
-5.86,8.79,1050.29,-4.9,0.92,1.02,41.4,-18.45,60.6,25.39
-4.88,-7.81,1031.25,-2.41,0.59,5.8,41.55,-21.15,59.4,25.68
21.97,20.51,1036.13,-0.8,0.56,2.23,40.65,-21.0,59.55,25.73
0.0,-44.92,1045.41,0.87,0.95,5.72,39.75,-20.1,59.4,25.44
-31.25,-0.49,1024.41,-0.5,2.73,10.73,40.95,-19.2,58.95,25.87
-2.93,21.48,1037.6,-0.21,-1.87,3.79,40.65,-20.25,60.0,25.92
11.72,15.14,1043.46,-0.92,-0.2,-2.28,41.1,-19.65,59.1,25.87
3.91,1.46,1037.6,0.44,0.53,-6.02,40.5,-19.65,59.7,25.92
12.21,-10.74,1036.62,0.32,-0.45,-3.38,40.95,-20.7,60.0,25.73
5.86,-0.49,1039.55,0.15,-1.8,-1.76,40.65,-21.3,60.0,25.87
3.42,2.93,1040.04,-0.59,-0.21,2.27,42.0,-20.7,60.0,25.87
-23.44,-11.23,1033.2,-1.67,-0.5,14.27,41.7,-19.95,59.55,25.59
4.88,-12.21,1031.74,1.17,0.03,101.61,41.1,-20.85,60.15,25.92
-0.98,7.32,1038.57,-4.44,1.93,149.19,41.1,-17.25,60.15,25.73
25.88,-16.11,1055.66,-5.31,-0.55,160.75,40.65,-14.4,58.5,25.78
-37.6,-26.37,1021.0,0.16,2.08,161.6,41.1,-10.35,57.75,25.73
-11.23,40.53,1062.5,5.7,-5.5,135.43,41.55,-7.05,60.15,25.87
-29.3,88.87,1051.27,4.04,2.46,106.63,41.1,-4.05,59.7,25.78
1.95,-33.69,1042.97,3.06,3.69,106.08,39.45,-1.95,59.1,25.73
-4.88,-50.78,1043.95,2.11,0.44,75.21,40.65,0.3,59.55,25.78
-38.57,-7.81,1047.36,1.49,0.5,67.73,39.15,2.4,61.05,25.44
-12.21,-37.11,1041.99,1.39,0.51,55.25,38.55,3.9,60.3,25.68
27.34,11.72,1052.73,-0.72,0.58,18.81,38.7,4.05,60.75,25.73
13.18,-2.93,1043.95,1.08,-1.55,-3.82,38.1,4.95,60.0,25.54
77.15,-24.9,1034.18,-3.16,1.21,-104.62,39.15,3.9,60.0,25.68
21.97,-20.51,1049.8,0.22,2.87,-138.92,39.75,1.95,59.7,25.92
-31.25,-24.9,1030.27,3.49,-3.04,-121.31,41.7,0.6,60.6,25.78
-6.35,-19.04,1046.39,-0.72,2.15,-119.2,41.55,-3.45,61.5,25.73
-0.98,-107.91,1035.64,5.98,1.93,-161.03,42.0,-6.45,61.35,25.92
30.76,-23.93,1036.62,0.79,-3.13,-169.93,42.9,-10.35,60.15,25.92
-8.79,22.46,1027.34,-10.76,-0.34,-176.45,42.9,-14.25,59.7,25.73
3.42,15.63,1051.27,-1.31,-3.98,-145.93,40.05,-20.1,59.4,25.87
-5.37,-78.12,1052.73,-2.03,-0.32,-138.02,41.4,-21.3,61.95,25.78
26.37,14.16,1040.53,-7.19,-1.55,-99.66,41.1,-26.7,59.7,25.78
0.98,-46.39,1041.99,-1.37,0.31,-116.0,37.95,-27.0,58.65,25.87
-77.15,-67.87,1023.44,3.79,-5.21,-137.82,36.45,-31.2,59.55,25.78
83.98,-27.34,1057.13,-6.27,1.69,-154.91,34.95,-31.95,58.2,25.78
46.88,0.49,1035.64,-5.98,-4.02,-206.72,32.55,-35.1,60.0,25.59
22.46,-8.79,1038.09,4.69,-3.21,-204.48,30.6,-38.55,60.75,25.87
37.6,23.44,1034.18,0.82,2.4,-110.88,27.9,-41.4,60.0,25.59
26.86,-18.55,1045.41,3.56,-2.89,-103.73,25.35,-43.2,60.0,25.73
11.23,-46.39,1042.97,-3.77,-0.3,-82.17,23.4,-42.9,61.5,25.68
32.71,-3.91,1046.88,-1.29,0.34,-55.23,21.0,-45.15,62.25,25.87
15.63,6.35,1030.76,-0.27,1.74,-38.07,19.95,-46.65,61.5,25.68
43.46,10.74,1038.57,0.54,0.0,-20.47,18.3,-46.05,62.7,25.73
-23.44,-9.77,1043.46,-0.71,-0.66,-7.21,19.95,-46.95,60.75,25.78
0.49,1.95,1040.53,-0.23,1.73,0.06,18.75,-45.3,61.05,25.87
-20.02,6.84,1042.97,-1.66,-0.96,1.68,18.0,-45.0,61.95,25.78
-9.77,-11.72,1037.6,0.12,1.14,0.96,20.25,-45.15,61.2,25.87
5.86,5.37,1058.11,-1.19,1.02,0.79,18.75,-46.05,62.4,25.68
